product_name,category,price,quantity_in_stock,quantity_sold,brand,rating,num_of_ratings,date_added,color
"iPad mini (2021) (64GB, Blue)",Tablets,499.0,266,185.0,Apple,8.75 out of 10,151,2.2.2022,blue
K55 RGB (Red),Keyboards,49.99,0,561.0,Corsair,8.5 out of 10,455,8.14.2022,red
Fenix 7 (Purple),Watches,699.99,0,374.0,Garmin,9.2 out of 10,305,4.20.2022,purple
"Mate 40 (256GB, Orange)",Smartphones,899.0,182,615.0,Huawei,8.5 out of 10,500,10.23.2024,orange
Rival 600 (Red),Mice,79.99,35,698.0,SteelSeries,9.25 out of 10,556,9.29.2020,red
Technic Bugatti Chiron (42083) (Gray),Toys,349.99,139,223.0,LEGO,9.2 out of 10,177,7.28.2023,gray
"MediaPad T5 (64GB, Brown)",Tablets,220.0,0,667.0,Huawei,7.8 out of 10,541,2.6.2025,brown
"Manchester United Home Jersey (Orange, M)",Clothing,90.0,425,261.0,Adidas,8.75 out of 10,211,11.9.2022,orange
Little People School Bus (White),Toys,15.99,0,69.0,Fisher-Price,8.75 out of 10,55,3.12.2025,white
"MatePad T10s (512GB, Yellow)",Tablets,250.0,19,440.0,Huawei,7.5 out of 10,337,3.26.2021,yellow
Sculpt Comfort Mouse (White),Mice,29.99,365,422.0,Microsoft,8.5 out of 10,326,10.3.2022,white
"Urbanite XL (Wired, White)",Headphones,79.99,447,248.0,Sennheiser,8.6 out of 10,199,9.22.2023,red
Natural Ergonomic Keyboard 4000 (Green),Keyboards,49.99,251,123.0,Microsoft,8.2 out of 10,95,5.19.2024,green
"Workout Plus (Brown, EU 46)",Shoes,70.0,248,8.0,Reebok,8.5 out of 10,7,2.26.2020,brown
XEGS (White),Gaming Consoles,200.0,443,730.0,Atari,6.5 out of 10,561,3.22.2023,white
Rival 3 (Blue),Mice,29.99,0,484.0,SteelSeries,8.75 out of 10,377,6.8.2020,blue
BCI600XL Smart Scoop (Yellow),Kitchen,299.95,38,559.0,Breville,8.75 out of 10,439,8.15.2022,yellow
Lancehead TE (Green),Mice,79.99,7,12.0,Razer,8.75 out of 10,8,10.1.2023,green
G502 HERO (Red),Mice,49.99,20,807.0,Logitech,9.25 out of 10,630,4.29.2021,red
,Kitchen,449.99,0,931.0,KitchenAid,no value,,10.31.2021,orange
Switch OLED (Red),Gaming Consoles,350.0,0,194.0,Nintendo,9.2 out of 10,152,5.14.2020,red
"iPad Pro 11 (2018) (128GB, Purple)",Tablets,699.0,172,862.0,Apple,8.5 out of 10,698,4.30.2021,purple
BlackWidow Elite (Blue),Keyboards,129.99,0,429.0,Razer,8.75 out of 10,346,5.9.2021,blue
Laugh & Learn Smart Stages Chair (Gray),Toys,39.99,51,500.0,Fisher-Price,8.5 out of 10,401,8.3.2022,gray
"65R635 (65"", Gray frame)",TVs,899.0,410,327.0,TCL,8.75 out of 10,259,7.8.2023,gray
Wii (Red),Gaming Consoles,150.0,0,13.0,Nintendo,8.75 out of 10,11,4.23.2022,red
"Elite 65t (Wired, Gray)",Headphones,69.99,301,846.0,Jabra,8.5 out of 10,680,2.6.2023,red
Lark Manor End Table (White),Furniture,150.0,71,690.0,Wayfair,7.8 out of 10,564,3.26.2025,white
"G3 15 (512GB, Gray)",Laptops,950.0,0,104.0,Dell,7.85 out of 10,73,3.21.2020,gray
"ExpertBook B9 (512GB, Gray)",Laptops,1700.0,0,46.0,Asus,8.7 out of 10,39,7.18.2025,gray
"1080v11 (Red, EU 39)",Shoes,160.0,490,207.0,New Balance,8.75 out of 10,166,6.30.2020,red
"Bravia X950H (55"", Orange frame)",TVs,1299.0,452,489.0,Sony,8.75 out of 10,396,4.29.2021,orange
"Tiro 21 Track Pants (White, XL)",Clothing,45.0,298,961.0,Adidas,8.8 out of 10,761,2.1.2022,white
All-in-One Media Keyboard (Gray),Keyboards,39.99,0,591.0,Microsoft,8.2 out of 10,485,3.29.2025,gray
"P30 Pro (64GB, Brown)",Smartphones,499.0,312,299.0,Huawei,8.75 out of 10,246,4.22.2021,brown
"AirPods (1st generation) (Wireless, Orange)",Headphones,99.0,229,233.0,Apple,7.8 out of 10,200,9.29.2025,orange
Little People Caring for Animals Farm (Brown),Toys,44.99,0,59.0,Fisher-Price,9.3 out of 10,46,9.24.2020,brown
"ENVY 15 (256GB, Purple)",Laptops,899.0,89,572.0,HP,8.5 out of 10,466,1.16.2024,purple
K400 Plus (Blue),Keyboards,30.0,0,223.0,Logitech,8.5 out of 10,169,7.2.2022,blue
"ProBook 450 G7 (128GB, Green)",Laptops,750.0,0,773.0,HP,8.25 out of 10,625,1.23.2022,green
"Originals Trefoil Hoodie (Blue, M)",Clothing,60.0,432,8.0,Adidas,8.5 out of 10,5,11.23.2022,blue
Poäng Armchair (Black),Furniture,89.0,30,558.0,IKEA,8.27 out of 10,451,7.19.2025,black
Tech Deck (Purple),Toys,15.99,298,797.0,Spin Master,8.75 out of 10,638,9.3.2022,purple
"Storm Cyclone Jacket (Red, XL)",Clothing,140.0,5,192.0,Under Armour,,,10.17.2020,red
"MDR-1AM2 (Wired, Blue)",Headphones,249.99,289,892.0,Sony,8.75 out of 10,721,11.6.2024,red
K68 RGB (Black),Keyboards,85.0,109,872.0,Corsair,8.75 out of 10,705,6.30.2022,black
Juice Fountain Elite (Red),Kitchen,299.95,351,243.0,Breville,9.2 out of 10,209,1.29.2021,red
"Sportswear Club Fleece Joggers (Gray, XL)",Clothing,55.0,0,122.0,Nike,8.75 out of 10,106,9.17.2023,gray
Cold Brew Coffee Maker (Red),Kitchen,79.99,240,382.0,KitchenAid,8.6 out of 10,299,1.2.2023,red
Gear S3 Frontier (Green),Watches,199.99,275,822.0,Samsung,8.75 out of 10,646,5.19.2020,green
KSB1570ER 5-Speed Blender (Blue),Kitchen,99.99,150,785.0,KitchenAid,8.75 out of 10,626,5.7.2021,blue
"Move Style Edition (Wireless, Brown)",Headphones,99.99,1,901.0,Jabra,8.3 out of 10,731,9.15.2022,brown
